age,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,500500,507900,409172,466907,461789,451534,440571,428904,416739,404602,392621,380631,369795,359954,351262,344022,338338,334330,331933,331202,331968,334045,337005,340695,344787,348882,352977,356570,359203,360908,361589,361211,359707,357198,353697,349373,344342
1,516800,499800,462489,463299,466249,461149,450918,439980,428337,416197,404082,392123,380156,369338,359515,350838,343611,337938,333939,331550,330823,331593,333671,336633,340322,344413,348508,352602,356195,358829,360536,361220,360846,359347,356844,353350,349033
2,498200,516500,471450,480692,463052,466005,460911,450690,439760,428126,415995,403889,391938,379978,369167,359351,350680,343458,337789,333793,331406,330682,331452,333531,336493,340182,344273,348368,352461,356054,358688,360396,361081,360708,359211,356710,353219
3,493200,498100,487356,470972,480523,462893,465847,460757,450542,439618,427989,415863,403763,391817,379862,369056,359243,350576,343357,337691,333698,331312,330589,331360,333440,336401,340090,344181,348275,352368,355961,358596,360304,360989,360617,359122,356622
4,507600,493000,470537,487096,470841,480392,462769,465724,460637,450426,439506,427882,415760,403664,391722,379771,368968,359159,350495,343279,337615,333623,331239,330516,331288,333368,336329,340018,344109,348203,352296,355888,358523,360232,360918,360547,359052
5,505300,507400,465685,470377,486981,470731,480282,462664,465620,460536,450328,439412,427791,415673,403580,391642,379694,368895,359088,350426,343212,337550,333559,331176,330455,331226,333307,336268,339957,344047,348141,352234,355826,358462,360170,360857,360486
6,467000,505100,479739,465501,470276,486878,470633,480184,462570,465527,460446,450241,439328,427710,415596,403506,391570,379625,368828,359024,350365,343152,337492,333502,331121,330399,331172,333252,336213,339902,343992,348086,352179,355771,358407,360115,360802
7,455100,466800,477651,479560,465407,470183,486783,470543,480093,462484,465442,460362,450160,439250,427635,415523,403436,391504,379562,368767,358965,350308,343097,337438,333450,331069,330348,331121,333201,336163,339851,343942,348035,352128,355720,358356,360065
8,420800,454900,441212,477478,479467,465317,470094,486692,470456,480006,462401,465360,460282,450083,439175,427563,415454,403370,391440,379501,368709,358909,350253,343044,337386,333399,331019,330299,331072,333153,336114,339803,343893,347987,352079,355671,358307
9,422100,420700,431011,441018,477385,479375,465230,470007,486603,470372,479921,462321,465279,460203,450007,439102,427493,415387,403305,391378,379441,368651,358853,350199,342992,337336,333350,330971,330251,331024,333105,336067,339755,343845,347939,352031,355623
10,403200,422000,398896,430845,440930,477291,479282,465141,469919,486513,470286,479835,462239,465198,460124,449930,439028,427422,415318,403239,391315,379380,368593,358797,350145,342940,337285,333300,330921,330202,330976,333057,336019,339707,343797,347890,351983
11,384800,403000,400099,398746,430755,440839,477194,479186,465050,469828,486420,470198,479745,462154,465113,460041,449850,438951,427347,415247,403171,391249,379317,368532,358739,350089,342885,337231,333248,330870,330152,330926,333007,335969,339657,343747,347840
12,369900,384700,382049,399879,398655,430659,440742,477091,479084,464952,469730,486321,470103,479650,462063,465023,459953,449764,438868,427268,415170,403097,391179,379249,368467,358676,350028,342826,337174,333192,330815,330097,330872,332953,335915,339603,343693
13,380900,369700,365398,381928,399778,398556,430553,440636,476978,478972,464845,469623,486211,469998,479544,461962,464923,459855,449670,438777,427180,415086,403016,391100,379174,368395,358606,349961,342761,337111,333129,330754,330037,330812,332893,335855,339543
14,385400,380700,351549,365239,381819,399665,398445,430435,440516,476850,478846,464724,469502,486088,469880,479425,461849,464810,459744,449562,438673,427080,414989,402923,391011,379089,368312,358527,349884,342686,337038,333058,330683,329967,330743,332824,335786
15,409400,385200,362018,351381,365118,381694,399536,398318,430300,440380,476704,478701,464585,469363,485945,469744,479287,461717,464678,459615,449438,438553,426963,414877,402815,390907,378989,368216,358434,349794,342599,336952,332974,330601,329886,330662,332743
16,427100,409200,366728,361834,351245,364978,381550,399388,398172,430145,440222,476535,478533,464423,469202,485779,469585,479127,461564,464525,459465,449292,438412,426827,414746,402689,390785,378871,368103,358324,349688,342495,336852,332875,330503,329789,330565
17,462700,427500,390967,366425,361671,351089,364818,381385,399217,398003,429964,440039,476339,478337,464235,469013,485586,469399,478939,461384,464346,459289,449121,438246,426667,414591,402540,390642,378733,367969,358195,349563,342374,336733,332759,330388,329675
18,483500,464100,409303,390123,366233,361484,350909,364633,381194,399019,397808,429755,439828,476111,478110,464017,468794,485361,469184,478721,461175,464137,459084,448922,438053,426481,414411,402366,390474,378572,367814,358045,349417,342231,336594,332622,330254
19,505100,485500,445062,407144,389887,366014,361269,350703,364422,380976,398793,397584,429516,439585,475850,477850,463766,468543,485103,468936,478470,460935,463898,458849,448693,437831,426266,414204,402166,390281,378386,367634,357871,349248,342067,336433,332464
20,535000,507100,464844,441509,406860,389619,365765,361026,350469,364181,380727,398535,397329,429244,439308,475553,477554,463482,468257,484809,468654,478184,460663,463625,458581,448433,437579,426022,413969,401939,390062,378175,367430,357674,349057,341881,336251
21,575100,536700,483136,461118,441157,406541,389317,365484,360752,350207,363911,380448,398246,397043,428938,438997,475218,477221,463161,467936,484479,468338,477864,460356,463319,458280,448141,437296,425748,413704,401684,389817,377938,367202,357453,348843,341673
22,615300,576400,510561,481180,460701,440764,406184,388980,365171,360447,349913,363609,380137,397923,396724,428597,438651,474846,476850,462805,467579,484112,467986,477508,460016,462979,457946,447817,436982,425445,413412,401402,389545,377677,366949,357209,348606
23,646600,616200,547499,509639,480690,460240,440329,405788,388607,364825,360109,349589,363276,379792,397566,396371,428220,438269,474435,476441,462412,467185,483708,467599,477116,459642,462605,457580,447461,436638,425112,413091,401093,389247,377390,366673,356942
24,676600,647000,583881,546822,509058,480150,459731,439851,405354,388198,364444,359738,349233,362909,379414,397174,395984,427807,437849,473985,475993,461982,466755,483266,467176,476689,459233,462198,457180,447074,436263,424750,412742,400757,388924,377080,366374
25,719100,676400,612369,583072,546128,508422,479560,459176,439328,404879,387750,364029,359333,348844,362510,379002,396747,395562,427357,437394,473496,475506,461515,466287,482787,466717,476226,458791,461757,456748,446655,435858,424360,412366,400395,388576,376745
26,742700,718500,639634,611212,582252,545373,507731,478919,458573,438761,404364,387264,363578,358893,348422,362076,378555,396284,395105,426870,436900,472967,474980,461010,465782,482269,466222,475726,458315,461282,456282,446205,435423,423940,411962,400007,388203
27,787000,741800,678904,638305,610265,581366,544558,506986,478226,457922,438148,403808,386741,363092,358419,347967,361608,378073,395786,394613,426346,436369,472398,474415,460468,465240,481714,465691,475190,457803,460772,455784,445722,434957,423491,411531,399592
28,763400,785700,700457,677156,637221,609247,580415,543683,506185,477483,457223,437490,403211,386177,362569,357909,347478,361106,377555,395251,394086,425784,435800,471788,473809,459887,464660,481120,465123,474617,457257,460229,455252,445208,434460,423013,411071
29,779900,761900,743322,698132,675902,636062,608160,579398,542748,505329,476689,456475,436786,402572,385575,362010,357363,346955,360570,377003,394679,393522,425184,435193,471137,473162,459268,464041,480486,464518,474007,456676,459651,454687,444661,433933,422505
30,791700,778200,720706,740566,696726,674568,634831,607004,578317,541753,504418,475843,455680,436037,401892,384933,361413,356783,346398,359998,376414,394071,392923,424546,434547,470444,472475,458609,463384,479813,463875,473359,456059,459037,454087,444082,433374
31,721500,789800,736924,717788,738954,695239,673157,633528,605781,577172,540698,503453,474947,454835,435241,401169,384251,360781,356167,345808,359392,375790,393426,392287,423868,433861,469711,471747,457912,462686,479100,463194,472673,455406,458388,453453,443468
32,698100,719500,746069,734007,716107,737257,693673,671670,632155,604490,575963,539585,502434,473999,453942,434400,400404,383531,360112,355515,345183,358751,375130,392743,391614,423152,433137,468935,470976,457173,461949,478346,462475,471948,454717,457703,452783
33,711600,696000,678493,742832,732159,714342,735475,692028,670108,630711,603132,574691,538414,501359,473000,453001,433512,399599,382771,359407,354827,344524,358075,374433,392023,390903,422396,432372,468116,470163,456395,461173,477552,461716,471184,453990,456980
34,671300,709300,656924,675429,740829,730225,712496,733610,690305,668472,629196,601708,573357,537182,500229,471948,452009,432579,398750,381971,358664,354103,343830,357362,373699,391264,390156,421600,431567,467252,469306,455575,460354,476715,460918,470381,453225
35,666200,669000,671042,653993,673482,738740,728209,710568,731662,688504,666759,627610,600216,571956,535889,499043,470844,450969,431598,397859,381130,357884,353343,343100,356613,372927,390467,389370,420763,430719,466345,468406,454713,459494,475835,460079,469535
36,644400,663800,632843,667910,651993,671456,736567,726108,708559,729631,686623,664969,625954,598654,570489,534535,497799,469688,449878,430570,396924,380248,357065,352544,342334,355826,372118,389629,388544,419883,429829,465392,467460,453807,458590,474911,459196
37,677400,641900,628059,630012,665736,649915,669351,734306,723922,706468,727511,684662,663103,624221,597021,568955,533117,496498,468476,448736,429492,395945,379324,356207,351706,341530,355001,371268,388750,387676,418959,428895,464391,466467,452856,457641,473939
38,663200,674700,606774,625022,627833,663480,647760,667164,731956,721648,704288,725304,682617,661152,622411,595313,567349,531635,495136,467208,447539,428364,394919,378356,355306,350828,340688,354136,370376,387827,386766,417991,427914,463341,465424,451859,456644
39,645500,660400,638746,603801,622733,625575,661142,645522,664894,729515,719282,702020,723005,680483,659116,620521,593528,565673,530084,493712,465881,446287,427183,393845,377341,354363,349908,339805,353229,369440,386859,385812,416974,426885,462238,464331,450811
40,628300,642600,625422,635303,601459,620362,623236,658716,643201,662537,726975,716819,699659,720605,678256,656990,618544,591664,563919,528463,492222,464492,444977,425946,392718,376277,353374,348943,338879,352276,368458,385844,384811,415907,425805,461082,463182
41,647500,625400,608258,622056,632687,599034,617907,620810,656200,640791,660084,724332,714257,697194,718103,675931,654768,616482,589714,562085,526768,490663,463040,443605,424649,391539,375163,352338,347931,337907,351278,367429,384779,383759,414787,424672,459867
42,640800,644300,592620,604952,619346,629979,596524,615362,618294,653588,638284,657533,721583,711583,694624,715490,673501,652448,614324,587676,560167,524993,489032,461518,442166,423291,390303,373995,351251,346869,336888,350230,366349,383660,382656,413612,423481
43,634100,637400,610260,589006,602158,616541,627175,593920,612721,615682,650871,635676,654878,718713,708793,691940,712758,670963,650021,612067,585543,558159,523136,487322,459922,440658,421867,389006,372768,350110,345755,335818,349130,365213,382485,381497,412375
44,584200,630600,604322,606312,586117,599264,613636,624266,591218,609978,612963,648042,632960,652106,715717,705878,689133,709904,668307,647482,609704,583310,556057,521188,485528,458248,439077,420372,387644,371480,348911,344584,334693,347973,364020,381250,380277
45,592700,580700,598204,600005,603160,583125,596266,610620,621246,588409,607122,610132,645096,630122,649211,712586,702828,686198,706914,665526,644822,607228,580969,553851,519143,483646,456493,437417,418802,386212,370126,347652,343353,333510,346756,362765,379949
46,584000,588900,549243,593498,596684,599892,580022,593152,607486,618105,585483,604146,607180,642015,627157,646183,709307,699637,683122,703783,662611,642032,604632,578512,551533,516996,481669,454647,435670,417149,384706,368702,346326,342057,332264,345476,361442
47,602100,580000,556754,544892,590004,593239,596501,576797,589914,604226,614830,582431,601041,604092,638794,624053,643010,705875,696291,679898,700498,659552,639105,601905,575928,549097,514740,479590,452704,433831,415410,383121,367202,344929,340692,330953,344125
48,596000,597700,548420,552163,541488,586378,589662,592975,573442,586542,600823,611412,579245,597789,600861,635420,620797,639686,702272,692781,676512,697047,656339,636026,599034,573211,546536,512364,477400,450658,431894,413578,381450,365619,343456,339252,329567
49,621600,591400,563779,543683,548489,537951,582609,585939,589302,569945,583020,597268,607841,575906,594384,597473,631878,617384,636194,698490,689091,672954,693420,652958,632784,596013,570350,543837,509860,475091,448500,429852,411644,379686,363949,341901,337730
50,661900,616500,556891,558209,539834,544669,534273,578683,582059,585471,566289,579338,593550,604095,572405,590810,593914,628161,613794,632525,694511,685210,669209,689600,649393,629368,592829,567333,540989,507216,472653,446222,427694,409601,377822,362185,340256
51,677800,656000,580454,551201,553996,535828,540692,530437,574587,578007,581461,562463,575482,589647,600164,568728,587052,590175,624248,610018,628662,690321,681122,665261,685568,645634,625766,589468,564147,537979,504424,470079,443814,425413,407441,375851,360316
52,700000,671300,617756,574353,546765,549606,531654,536541,526431,570307,573764,577262,558454,571431,585547,596031,564857,583100,586236,620129,606038,624590,685903,676807,661091,681313,641666,621958,585915,560776,534797,501471,467354,441265,422997,405154,373762
53,722800,692900,630116,610428,569413,542138,545027,527292,532202,522240,565820,569315,572857,554236,567171,581231,591676,560783,578932,582085,615783,601839,620294,681238,672247,656684,676816,637468,617930,582153,557210,531429,498343,464466,438565,420439,402728
54,688000,715000,651476,622264,604815,564257,537308,540239,522729,527659,517843,561111,564645,568218,549799,562685,576681,587090,556482,574536,577702,611194,597404,615751,676301,667424,652024,672055,633023,613661,578169,553431,527858,495026,461405,435702,417722
