age,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061
0,242.6,246.5,237.4,238.9,236.3,231.1,225.5,219.6,213.5,207.4,201.5,195.6,190.3,185.6,181.5,178.1,175.6,173.9,173.0,172.9,173.6,175.0,176.8,178.9,181.3,183.6,185.8,187.8,189.3,190.3,190.7,190.5,189.8,188.6,186.8,184.6,182.1,179.3,176.3,173.1,169.9,166.8,163.8,161.1,158.5,156.4,154.5,153.0
1,250.3,242.3,246.2,237.1,238.6,236.0,230.8,225.3,219.4,213.4,207.3,201.4,195.6,190.3,185.6,181.5,178.1,175.6,173.9,173.0,173.0,173.7,175.0,176.8,178.9,181.3,183.6,185.8,187.8,189.3,190.3,190.7,190.5,189.8,188.6,186.8,184.6,182.1,179.3,176.3,173.1,169.9,166.8,163.8,161.1,158.6,156.4,154.5
2,241.4,250.2,242.2,246.1,237.0,238.5,235.9,230.8,225.3,219.4,213.4,207.4,201.5,195.7,190.4,185.7,181.6,178.2,175.7,174.0,173.1,173.0,173.7,175.1,176.9,179.0,181.3,183.6,185.9,187.9,189.4,190.3,190.7,190.6,189.9,188.6,186.9,184.7,182.2,179.3,176.3,173.2,170.0,166.9,163.9,161.1,158.6,156.4
3,239.0,241.3,250.1,242.1,246.0,237.0,238.5,235.9,230.8,225.3,219.5,213.5,207.5,201.6,195.8,190.5,185.8,181.7,178.4,175.8,174.1,173.2,173.1,173.8,175.2,177.0,179.1,181.4,183.7,186.0,188.0,189.5,190.4,190.8,190.7,190.0,188.7,186.9,184.8,182.2,179.4,176.4,173.2,170.1,167.0,164.0,161.2,158.7
4,245.5,238.9,241.2,250.0,242.1,246.0,237.0,238.5,235.9,230.8,225.4,219.6,213.5,207.6,201.7,195.9,190.6,185.9,181.8,178.5,175.9,174.2,173.3,173.2,173.9,175.3,177.1,179.2,181.5,183.8,186.1,188.1,189.5,190.5,190.9,190.7,190.0,188.8,187.0,184.8,182.3,179.5,176.4,173.3,170.1,167.0,164.0,161.2
5,244.8,245.5,238.8,241.1,250.0,242.1,246.0,237.0,238.5,236.0,230.9,225.4,219.6,213.6,207.6,201.8,195.9,190.7,186.0,181.9,178.5,176.0,174.3,173.4,173.3,174.0,175.4,177.1,179.3,181.6,183.9,186.1,188.1,189.6,190.5,190.9,190.8,190.1,188.8,187.0,184.9,182.3,179.5,176.5,173.3,170.2,167.0,164.1
6,227.1,244.7,245.4,238.8,241.1,249.9,242.0,246.0,237.0,238.5,236.0,230.9,225.5,219.7,213.7,207.7,201.9,196.1,190.8,186.1,182.0,178.6,176.1,174.3,173.4,173.4,174.1,175.4,177.2,179.4,181.7,184.0,186.2,188.2,189.6,190.6,191.0,190.9,190.1,188.9,187.1,184.9,182.4,179.6,176.5,173.4,170.2,167.1
7,221.9,227.0,244.6,245.3,238.7,241.1,249.9,242.0,246.0,237.0,238.6,236.1,231.0,225.6,219.8,213.8,207.8,202.0,196.1,190.9,186.2,182.1,178.7,176.1,174.4,173.5,173.5,174.2,175.5,177.3,179.4,181.7,184.0,186.3,188.3,189.7,190.7,191.1,190.9,190.2,188.9,187.1,185.0,182.4,179.6,176.6,173.4,170.3
8,204.2,221.9,226.9,244.6,245.3,238.7,241.1,249.9,242.0,246.0,237.1,238.6,236.1,231.1,225.7,219.9,213.9,207.9,202.1,196.2,191.0,186.3,182.1,178.8,176.2,174.5,173.6,173.5,174.2,175.6,177.4,179.5,181.8,184.1,186.3,188.3,189.8,190.7,191.1,190.9,190.2,188.9,187.2,185.0,182.4,179.6,176.6,173.4
9,205.2,204.2,221.8,226.9,244.5,245.2,238.7,241.0,249.9,242.0,246.0,237.1,238.7,236.2,231.1,225.7,219.9,213.9,208.0,202.1,196.2,191.0,186.3,182.2,178.8,176.2,174.5,173.6,173.6,174.3,175.6,177.4,179.5,181.8,184.1,186.3,188.3,189.8,190.7,191.1,190.9,190.2,188.9,187.2,185.0,182.4,179.6,176.6
