age,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061
0,257.9,261.4,251.8,253.4,250.6,245.2,239.3,233.0,226.5,220.1,213.9,207.6,202.0,197.0,192.7,189.1,186.4,184.6,183.6,183.6,184.3,185.8,187.7,190.0,192.4,194.9,197.3,199.4,201.0,202.0,202.4,202.3,201.5,200.2,198.3,196.0,193.3,190.4,187.1,183.8,180.4,177.1,174.0,171.0,168.3,166.0,164.0,162.5
1,266.5,257.5,261.0,251.4,253.1,250.3,244.9,239.0,232.8,226.4,220.0,213.8,207.6,202.0,197.0,192.6,189.1,186.4,184.6,183.6,183.6,184.3,185.8,187.7,189.9,192.4,194.9,197.3,199.4,200.9,202.0,202.4,202.3,201.5,200.2,198.3,196.0,193.3,190.4,187.1,183.8,180.4,177.1,174.0,171.0,168.4,166.0,164.1
2,256.9,266.4,257.3,260.8,251.3,252.9,250.2,244.7,238.9,232.7,226.3,220.0,213.7,207.5,202.0,197.0,192.6,189.1,186.4,184.6,183.6,183.6,184.3,185.8,187.7,189.9,192.4,194.9,197.3,199.4,200.9,202.0,202.4,202.2,201.5,200.1,198.3,196.0,193.3,190.3,187.1,183.8,180.4,177.1,173.9,171.0,168.3,166.0
3,254.2,256.8,266.2,257.2,260.7,251.2,252.8,250.1,244.7,238.9,232.7,226.3,220.0,213.8,207.6,202.0,197.1,192.7,189.2,186.4,184.6,183.7,183.6,184.4,185.8,187.7,190.0,192.5,194.9,197.3,199.4,201.0,202.0,202.4,202.3,201.5,200.2,198.3,196.0,193.3,190.3,187.1,183.8,180.4,177.1,173.9,171.0,168.3
4,262.0,254.1,256.6,266.1,257.1,260.7,251.2,252.8,250.1,244.7,238.9,232.8,226.4,220.1,213.9,207.7,202.1,197.2,192.8,189.2,186.5,184.7,183.8,183.7,184.5,185.9,187.8,190.1,192.5,195.0,197.4,199.5,201.0,202.0,202.5,202.3,201.6,200.2,198.4,196.0,193.4,190.4,187.2,183.8,180.5,177.2,174.0,171.0
5,260.5,262.0,254.0,256.6,266.0,257.1,260.6,251.2,252.8,250.2,244.8,239.0,232.9,226.5,220.2,214.0,207.8,202.3,197.3,192.9,189.3,186.6,184.8,183.9,183.8,184.6,186.0,187.9,190.2,192.6,195.1,197.5,199.6,201.1,202.1,202.6,202.4,201.6,200.3,198.4,196.1,193.4,190.4,187.2,183.9,180.5,177.2,174.1
6,239.9,260.4,261.8,253.9,256.5,266.0,257.0,260.6,251.2,252.8,250.2,244.8,239.1,233.0,226.6,220.3,214.1,207.9,202.3,197.4,193.0,189.4,186.7,184.9,184.0,183.9,184.7,186.1,188.0,190.2,192.7,195.1,197.5,199.6,201.2,202.2,202.6,202.5,201.7,200.3,198.5,196.2,193.5,190.5,187.3,183.9,180.6,177.3
7,233.2,239.8,260.2,261.8,253.8,256.5,266.0,257.0,260.6,251.2,252.9,250.2,244.9,239.1,233.0,226.7,220.3,214.2,208.0,202.4,197.4,193.1,189.5,186.8,185.0,184.0,184.0,184.7,186.2,188.0,190.3,192.8,195.2,197.6,199.7,201.2,202.2,202.7,202.5,201.7,200.4,198.5,196.2,193.5,190.5,187.3,184.0,180.6
8,216.6,233.1,239.7,260.2,261.7,253.8,256.4,266.0,257.0,260.6,251.2,252.9,250.3,244.9,239.2,233.1,226.7,220.4,214.2,208.0,202.5,197.5,193.1,189.5,186.8,185.0,184.1,184.0,184.8,186.2,188.1,190.3,192.8,195.2,197.6,199.7,201.2,202.2,202.7,202.5,201.7,200.4,198.5,196.2,193.5,190.5,187.3,184.0
9,216.9,216.5,232.9,239.6,260.1,261.6,253.8,256.4,265.9,257.0,260.6,251.2,252.9,250.3,245.0,239.2,233.1,226.8,220.4,214.2,208.0,202.5,197.5,193.2,189.6,186.9,185.1,184.1,184.1,184.8,186.2,188.1,190.4,192.8,195.2,197.6,199.7,201.2,202.2,202.7,202.5,201.7,200.4,198.5,196.2,193.5,190.5,187.3
10,206.9,216.8,216.4,232.8,239.5,260.0,261.6,253.7,256.4,265.9,257.0,260.7,251.2,253.0,250.4,245.0,239.3,233.2,226.8,220.5,214.3,208.1,202.6,197.6,193.2,189.6,186.9,185.1,184.2,184.1,184.8,186.3,188.1,190.4,192.8,195.3,197.6,199.7,201.3,202.3,202.7,202.5,201.7,200.4,198.5,196.2,193.5,190.5
11,198.4,206.8,216.7,216.3,232.8,239.5,260.0,261.6,253.7,256.4,265.9,257.0,260.7,251.3,253.0,250.4,245.1,239.3,233.2,226.8,220.5,214.3,208.1,202.6,197.6,193.2,189.7,187.0,185.2,184.2,184.1,184.9,186.3,188.2,190.4,192.9,195.3,197.7,199.7,201.3,202.3,202.7,202.5,201.7,200.4,198.5,196.2,193.5
12,190.3,198.3,206.7,216.6,216.3,232.7,239.4,260.0,261.5,253.7,256.4,265.9,257.1,260.7,251.3,253.0,250.4,245.1,239.4,233.2,226.9,220.6,214.4,208.2,202.6,197.6,193.3,189.7,187.0,185.2,184.2,184.2,184.9,186.3,188.2,190.4,192.9,195.3,197.7,199.8,201.3,202.3,202.7,202.5,201.7,200.4,198.5,196.2
13,195.8,190.2,198.2,206.6,216.6,216.2,232.7,239.4,259.9,261.5,253.7,256.4,265.9,257.1,260.7,251.3,253.1,250.5,245.1,239.4,233.3,226.9,220.6,214.4,208.2,202.7,197.7,193.3,189.7,187.0,185.2,184.2,184.2,184.9,186.3,188.2,190.4,192.9,195.3,197.6,199.7,201.2,202.2,202.7,202.5,201.7,200.4,198.5
14,197.7,195.7,190.1,198.1,206.5,216.5,216.1,232.6,239.3,259.9,261.5,253.7,256.4,265.9,257.1,260.7,251.3,253.1,250.5,245.1,239.4,233.3,226.9,220.6,214.4,208.2,202.7,197.7,193.3,189.7,187.0,185.2,184.2,184.2,184.9,186.3,188.2,190.4,192.8,195.2,197.6,199.7,201.2,202.2,202.6,202.5,201.7,200.3
